ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
209100_at	IFRD2	interferon related developmental regulator 2	0.582	4.699
209104_s_at	NHP2	NHP2 ribonucleoprotein	-1.167	4.207
209116_x_at	HBB	hemoglobin subunit beta	3.276	11.159
209122_at	PLIN2	perilipin 2	0.701	5.181
209127_s_at	SART3	squamous cell carcinoma antigen recognized by T-cells 3	-0.382	2.585
209135_at	ASPH	aspartate beta-hydroxylase	0.646	3.478
209138_x_at	IGLC1	immunoglobulin lambda constant 1	-1.535	6.616
209146_at	MSMO1	methylsterol monooxygenase 1	-0.717	4.619
209147_s_at	PLPP1	phospholipid phosphatase 1	0.779	3.23
209159_s_at	NDRG4	NDRG family member 4	-0.545	2.779
209160_at	AKR1C3	aldo-keto reductase family 1, member C3	2.7	10.405
209163_at	CYB561	cytochrome b561	-0.831	4.175
209173_at	AGR2	anterior gradient 2, protein disulphide isomerase family member	-2.554	7.294
209175_at	SEC23IP	SEC23 interacting protein	-0.677	3.264
209183_s_at	C10orf10	chromosome 10 open reading frame 10	2.024	11.27
209184_s_at	IRS2	insulin receptor substrate 2	0.67	5.029
209185_s_at	IRS2	insulin receptor substrate 2	0.757	5.987
209189_at	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	1.978	4.642
209191_at	TUBB6	tubulin beta 6 class V	0.581	2.951
209195_s_at	ADCY6	adenylate cyclase 6	0.518	3.18
209209_s_at	FERMT2	fermitin family member 2	1.244	5.447
209210_s_at	FERMT2	fermitin family member 2	1.215	8.59
209218_at	SQLE	squalene epoxidase	-0.347	2.432
209220_at	GPC3	glypican 3	0.555	4.232
209274_s_at	ISCA1	iron-sulfur cluster assembly 1	0.518	2.823
209283_at	CRYAB	crystallin alpha B	0.66	3.9
209291_at	ID4	inhibitor of DNA binding 4, HLH protein	0.788	3.089
209297_at	ITSN1	intersectin 1	1.366	5.486
209298_s_at	ITSN1	intersectin 1	2.435	10.17
209302_at	POLR2H	RNA polymerase II subunit H	-0.396	2.731
209309_at	AZGP1	alpha-2-glycoprotein 1, zinc-binding	-1.101	3.446
209311_at	BCL2L2	BCL2 like 2	0.839	2.878
209318_x_at	PLAGL1	PLAG1 like zinc finger 1	0.52	3.272
209326_at	SLC35A2	solute carrier family 35 member A2	-0.492	3.626
209335_at	DCN	decorin	0.643	3.51
209351_at	KRT14	keratin 14	-1.15	3.233
209355_s_at	PLPP3	phospholipid phosphatase 3	0.719	5.932
209356_x_at	EFEMP2	EGF containing fibulin like extracellular matrix protein 2	0.556	3.307
209357_at	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	0.923	5.488
209360_s_at	LOC101928269///LOC100506403///RUNX1	uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1	-1.263	5.613
209366_x_at	CYB5A	cytochrome b5 type A	0.562	3.18
209374_s_at	IGHM	immunoglobulin heavy constant mu	-0.931	2.831
209392_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	0.712	4.522
209439_s_at	PHKA2	phosphorylase kinase regulatory subunit alpha 2	0.588	3.953
209452_s_at	VTI1B	vesicle transport through interaction with t-SNAREs 1B	0.533	4.717
209458_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	2.515	10.093
209459_s_at	ABAT	4-aminobutyrate aminotransferase	-1.395	3.411
209485_s_at	OSBPL1A	oxysterol binding protein like 1A	0.995	6.842
209487_at	RBPMS	RNA binding protein with multiple splicing	1.164	4.679
209488_s_at	RBPMS	RNA binding protein with multiple splicing	0.465	4.536
209493_at	PDZD2	PDZ domain containing 2	1.536	11.357
209496_at	RARRES2	retinoic acid receptor responder 2	2.18	10.065
209512_at	HSDL2	hydroxysteroid dehydrogenase like 2	1.485	9.808
209513_s_at	HSDL2	hydroxysteroid dehydrogenase like 2	1.505	7.572
209524_at	HDGFRP3	hepatoma-derived growth factor, related protein 3	-0.765	3.007
209529_at	PLPP2	phospholipid phosphatase 2	-1.194	4.179
209539_at	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6	0.831	6.211
209540_at	IGF1	insulin like growth factor 1	1.538	6.232
209541_at	IGF1	insulin like growth factor 1	0.741	5.011
209542_x_at	IGF1	insulin like growth factor 1	1.495	5.527
209550_at	NDN	necdin, MAGE family member	0.993	8.369
209552_at	PAX8	paired box 8	0.586	3.101
209554_at	CD36	CD36 molecule	0.595	3.078
209555_s_at	CD36	CD36 molecule	2.428	10.385
209568_s_at	RGL1	ral guanine nucleotide dissociation stimulator like 1	0.432	3.115
209576_at	GNAI1	G protein subunit alpha i1	1.274	4.343
209581_at	PLA2G16	phospholipase A2 group XVI	2.056	11.743
209586_s_at	PRUNE1	prune exopolyphosphatase	-0.52	2.804
209600_s_at	ACOX1	acyl-CoA oxidase 1	0.593	2.688
209602_s_at	GATA3	GATA binding protein 3	-2.907	12.5
209603_at	GATA3	GATA binding protein 3	-1.839	8.888
209604_s_at	GATA3	GATA binding protein 3	-1.209	6.936
209605_at	TST	thiosulfate sulfurtransferase	1.161	6.023
209612_s_at	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	1.969	10.18
209613_s_at	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	2.29	9.255
209614_at	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	1.821	11.892
209616_s_at	LOC100653057///CES1	liver carboxylesterase 1-like///carboxylesterase 1	1.612	9.629
209652_s_at	PGF	placental growth factor	0.494	2.711
209656_s_at	TMEM47	transmembrane protein 47	0.725	5.438
209663_s_at	ITGA7	integrin subunit alpha 7	0.614	4.078
209674_at	CRY1	cryptochrome circadian clock 1	-0.768	3.434
209686_at	S100B	S100 calcium binding protein B	1.58	11.877
209687_at	CXCL12	C-X-C motif chemokine ligand 12	0.707	2.738
209694_at	PTS	6-pyruvoyltetrahydropterin synthase	-0.679	2.973
209699_x_at	LOC101930400///AKR1C2	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2	2.65	12.723
209721_s_at	IFFO1	intermediate filament family orphan 1	0.522	2.775
209731_at	NTHL1	nth like DNA glycosylase 1	-0.825	2.57
209744_x_at	ITCH	itchy E3 ubiquitin protein ligase	-0.588	3.126
209755_at	NMNAT2	nicotinamide nucleotide adenylyltransferase 2	0.727	3.589
209763_at	CHRDL1	chordin like 1	1.095	9.301
209771_x_at	CD24	CD24 molecule	-1.85	13.907
209772_s_at	CD24	CD24 molecule	-0.602	2.444
209774_x_at	CXCL2	C-X-C motif chemokine ligand 2	1.027	3.798
209775_x_at	SLC19A1	solute carrier family 19 member 1	0.65	2.682
209780_at	PHTF2	putative homeodomain transcription factor 2	-0.81	3.296
209789_at	CORO2B	coronin 2B	0.455	3.065
209793_at	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	0.424	2.535
209803_s_at	PHLDA2	pleckstrin homology like domain family A member 2	-1.218	5.893
209806_at	HIST1H2BK	histone cluster 1, H2bk	-0.919	4.188
209821_at	IL33	interleukin 33	0.675	2.708
209822_s_at	VLDLR	very low density lipoprotein receptor	0.537	3.726
209841_s_at	LRRN3	leucine rich repeat neuronal 3	0.418	2.967
209853_s_at	PSME3	proteasome activator subunit 3	0.482	2.78
209859_at	TRIM9	tripartite motif containing 9	-0.632	2.641
209868_s_at	RBMS1	RNA binding motif single stranded interacting protein 1	0.502	2.537
209875_s_at	SPP1	secreted phosphoprotein 1	-0.664	3.108
209894_at	LEPROT///LEPR	leptin receptor overlapping transcript///leptin receptor	1.357	6.706
209896_s_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11	1.179	4.756
209917_s_at	TP53TG1	TP53 target 1 (non-protein coding)	0.607	3.185
209952_s_at	MAP2K7	mitogen-activated protein kinase kinase 7	0.481	3.56
209969_s_at	STAT1	signal transducer and activator of transcription 1	-0.805	2.945
209998_at	PIGO	phosphatidylinositol glycan anchor biosynthesis class O	0.703	2.649
210024_s_at	UBE2E3	ubiquitin conjugating enzyme E2 E3	0.569	3.193
210046_s_at	IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	-1.188	6.595
210051_at	RAPGEF3	Rap guanine nucleotide exchange factor 3	0.46	2.715
210078_s_at	KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1	1.266	9.611
210095_s_at	IGFBP3	insulin like growth factor binding protein 3	0.862	3.526
210096_at	CYP4B1	cytochrome P450 family 4 subfamily B member 1	0.93	4.977
210101_x_at	SH3GLB1	SH3 domain containing GRB2 like endophilin B1	0.472	2.438
210105_s_at	FYN	FYN proto-oncogene, Src family tyrosine kinase	0.372	2.922
210106_at	BLOC1S1-RDH5///RDH5	BLOC1S1-RDH5 readthrough///retinol dehydrogenase 5	0.61	3.274
210130_s_at	TM7SF2	transmembrane 7 superfamily member 2	0.484	2.473
210145_at	PLA2G4A	phospholipase A2 group IVA	1.352	5.697
210157_at	URI1	URI1, prefoldin like chaperone	0.389	3.435
210201_x_at	BIN1	bridging integrator 1	1.445	12.265
210203_at	CNOT4	CCR4-NOT transcription complex subunit 4	0.734	4.238
210222_s_at	RTN1	reticulon 1	0.612	3.669
210261_at	KCNK2	potassium two pore domain channel subfamily K member 2	0.606	2.731
210298_x_at	FHL1	four and a half LIM domains 1	1.97	14.008
210299_s_at	FHL1	four and a half LIM domains 1	1.743	7.343
210303_at	MAB21L2	mab-21 like 2	0.437	2.998
210305_at	PDE4DIP	phosphodiesterase 4D interacting protein	0.557	3.43
210311_at	FGF5	fibroblast growth factor 5	0.632	2.941
210318_at	RBP3	retinol binding protein 3	0.74	2.753
210335_at	RASSF9	Ras association domain family member 9	0.478	3.726
210340_s_at	CSF2RA	colony stimulating factor 2 receptor alpha subunit	0.45	2.87
210374_x_at	PTGER3	prostaglandin E receptor 3	0.882	3.214
210375_at	PTGER3	prostaglandin E receptor 3	1.288	8.505
210381_s_at	CCKBR	cholecystokinin B receptor	0.555	4.488
210413_x_at	SERPINB4///SERPINB3	serpin family B member 4///serpin family B member 3	0.485	3.659
210495_x_at	FN1	fibronectin 1	-0.931	4.021
210511_s_at	INHBA	inhibin beta A subunit	-0.974	3.086
210517_s_at	AKAP12	A-kinase anchoring protein 12	1.465	8.729
210559_s_at	CDK1	cyclin dependent kinase 1	-0.638	2.411
210579_s_at	TRIM10	tripartite motif containing 10	0.43	3.421
210640_s_at	GPER1	G protein-coupled estrogen receptor 1	0.511	2.697
210663_s_at	KYNU	kynureninase	-0.705	2.804
210678_s_at	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	0.853	4.02
210713_at	ITSN1	intersectin 1	0.628	3.053
210715_s_at	SPINT2	serine peptidase inhibitor, Kunitz type 2	-1.511	9.726
210740_s_at	ITPK1	inositol-tetrakisphosphate 1-kinase	1.237	7.191
210746_s_at	EPB42	erythrocyte membrane protein band 4.2	0.337	2.408
210751_s_at	RGN	regucalcin	0.732	5.667
210762_s_at	DLC1	DLC1 Rho GTPase activating protein	1.046	7.245
210764_s_at	CYR61	cysteine rich angiogenic inducer 61	0.612	2.597
210765_at	CSE1L	chromosome segregation 1 like	0.488	3.389
210766_s_at	CSE1L	chromosome segregation 1 like	-0.791	3.665
210778_s_at	MIR4800///MXD4	microRNA 4800///MAX dimerization protein 4	0.654	3.44
210809_s_at	POSTN	periostin	-0.651	4.847
210831_s_at	PTGER3	prostaglandin E receptor 3	1.099	4.52
210832_x_at	PTGER3	prostaglandin E receptor 3	1.207	7.07
210835_s_at	CTBP2	C-terminal binding protein 2	-0.368	2.746
210839_s_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	0.746	3.834
210869_s_at	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule	1.362	7.466
210888_s_at	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1	0.383	2.518
210896_s_at	ASPH	aspartate beta-hydroxylase	0.594	2.752
210946_at	PLPP1	phospholipid phosphatase 1	0.77	6.392
210948_s_at	LEF1	lymphoid enhancer binding factor 1	0.359	2.595
210963_s_at	GYG2	glycogenin 2	0.571	3.996
210964_s_at	GYG2	glycogenin 2	2.308	15.884
211000_s_at	IL6ST	interleukin 6 signal transducer	0.438	2.769
211010_s_at	NCR3	natural cytotoxicity triggering receptor 3	0.614	3.238
211026_s_at	MGLL	monoglyceride lipase	0.737	6.59
211155_s_at	THPO	thrombopoietin	0.666	3.369
211178_s_at	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1	0.547	2.883
211271_x_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	-0.451	2.636
211340_s_at	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule	0.685	4.446
211385_x_at	SULT1A2	sulfotransferase family 1A member 2	0.505	2.764
211427_s_at	KCNJ13	potassium voltage-gated channel subfamily J member 13	0.732	2.751
211430_s_at	MIR8071-2///MIR8071-1///IGHV4-31///IGHM///IGHG2///IGHG1	microRNA 8071-2///microRNA 8071-1///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)	-0.707	4.182
211432_s_at	TYRO3	TYRO3 protein tyrosine kinase	0.577	3.753
211458_s_at	GABARAPL3///GABARAPL1	GABA type A receptor associated protein like 3 pseudogene///GABA type A receptor associated protein like 1	1.756	6.924
211499_s_at	MAPK11	mitogen-activated protein kinase 11	0.833	3.741
211536_x_at	MAP3K7	mitogen-activated protein kinase kinase kinase 7	0.396	2.986
211577_s_at	IGF1	insulin like growth factor 1	0.843	4.694
211587_x_at	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit	0.397	2.45
211598_x_at	VIPR2	vasoactive intestinal peptide receptor 2	0.495	2.76
211618_s_at	ALPI	alkaline phosphatase, intestinal	0.416	2.523
211626_x_at	ERG	ERG, ETS transcription factor	0.537	2.586
211653_x_at	LOC101930400///AKR1C2	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2	2.567	11.254
211657_at	CEACAM6	carcinoembryonic antigen related cell adhesion molecule 6	-0.572	3.223
211671_s_at	NR3C1	nuclear receptor subfamily 3 group C member 1	0.421	3.056
211674_x_at	CTAG1A///CTAG1B	cancer/testis antigen 1A///cancer/testis antigen 1B	0.426	3.117
211675_s_at	MDFIC	MyoD family inhibitor domain containing	0.658	4.133
211687_x_at	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1	0.592	2.951
211696_x_at	HBB	hemoglobin subunit beta	1.638	10.469
211699_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	1.939	7.798
211708_s_at	SCD	stearoyl-CoA desaturase	0.473	3.329
211709_s_at	CLEC11A	C-type lectin domain family 11 member A	-1.038	3.754
211718_at	MGC2889	uncharacterized protein MGC2889	0.627	2.505
211719_x_at	FN1	fibronectin 1	-1.69	4.184
211726_s_at	FMO2	flavin containing monooxygenase 2	0.624	6.828
211730_s_at	POLR2L	RNA polymerase II subunit L	0.953	3.72
211745_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	2.663	10.88
211776_s_at	EPB41L3	erythrocyte membrane protein band 4.1 like 3	0.544	2.546
211784_s_at	SRSF1	serine and arginine rich splicing factor 1	-0.504	3.144
211790_s_at	KMT2D	lysine methyltransferase 2D	0.412	3.259
211792_s_at	CDKN2C	cyclin dependent kinase inhibitor 2C	0.565	2.911
211803_at	CDK2	cyclin dependent kinase 2	0.598	2.939
211811_s_at	PCDHA5///PCDHA6	protocadherin alpha 5///protocadherin alpha 6	0.521	2.43
211813_x_at	DCN	decorin	0.569	3.376
211830_s_at	CACNA1I	calcium voltage-gated channel subunit alpha1 I	0.701	2.655
211832_s_at	MDM2	MDM2 proto-oncogene	0.454	3.049
211872_s_at	RGS11	regulator of G-protein signaling 11	0.347	2.669
211896_s_at	DCN	decorin	1.036	3.235
211898_s_at	EPHB1	EPH receptor B1	0.464	3.486
211905_s_at	ITGB4	integrin subunit beta 4	0.504	2.754
211922_s_at	CAT	catalase	1.499	7.005
211930_at	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3	-0.659	3.088
211931_s_at	HNRNPA3///HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3///heterogeneous nuclear ribonucleoprotein A3 pseudogene 1	-0.456	3.841
211933_s_at	HNRNPA3///HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3///heterogeneous nuclear ribonucleoprotein A3 pseudogene 1	-0.709	4.964
211936_at	HSPA5	heat shock protein family A (Hsp70) member 5	-0.959	3.106
211946_s_at	PRRC2C	proline rich coiled-coil 2C	-0.937	5.949
211964_at	COL4A2	collagen type IV alpha 2 chain	0.528	3.107
211966_at	COL4A2	collagen type IV alpha 2 chain	0.771	4.894
211979_at	GPR107	G protein-coupled receptor 107	-0.621	3.61
211980_at	COL4A1	collagen type IV alpha 1 chain	0.66	3.986
211981_at	COL4A1	collagen type IV alpha 1 chain	0.595	5.579
211986_at	AHNAK	AHNAK nucleoprotein	0.444	2.975
211994_at	WNK1	WNK lysine deficient protein kinase 1	0.462	3.412
211998_at	MIR4738///H3F3B///H3F3A	microRNA 4738///H3 histone, family 3B///H3 histone, family 3A	0.968	3.328
212006_at	UBXN4	UBX domain protein 4	-0.889	3.55
212012_at	PXDN	peroxidasin	0.771	4.04
212013_at	PXDN	peroxidasin	1.217	6.286
212015_x_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	-0.812	3.684
212026_s_at	EXOC7	exocyst complex component 7	0.663	2.843
212036_s_at	PNN	pinin, desmosome associated protein	-1.146	5.792
212062_at	ATP9A	ATPase phospholipid transporting 9A (putative)	0.821	3.581
212071_s_at	SPTBN1	spectrin beta, non-erythrocytic 1	1.15	8.33
212072_s_at	CSNK2A1	casein kinase 2 alpha 1	-0.658	2.485
212091_s_at	COL6A1	collagen type VI alpha 1 chain	0.528	3.36
212097_at	CAV1	caveolin 1	1.558	7.969
212107_s_at	DHX9	DEAH-box helicase 9	0.69	3.215
212111_at	STX12	syntaxin 12	0.726	5.026
212112_s_at	STX12	syntaxin 12	1.241	10.743
212116_at	TRIM27	tripartite motif containing 27	-0.827	4.385
212117_at	RHOQ	ras homolog family member Q	0.471	2.46
212119_at	RHOQ	ras homolog family member Q	0.91	5.564
212120_at	RHOQ	ras homolog family member Q	0.695	3.693
212122_at	RHOQ	ras homolog family member Q	1.428	6.955
212130_x_at	EIF1	eukaryotic translation initiation factor 1	0.697	2.688
212134_at	MIR6716///PHLDB1	microRNA 6716///pleckstrin homology like domain family B member 1	0.765	6.912
212136_at	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	0.502	2.869
212144_at	SUN2	Sad1 and UNC84 domain containing 2	0.524	3.268
212153_at	POGZ	pogo transposable element with ZNF domain	-0.687	2.976
212158_at	SDC2	syndecan 2	0.747	2.893
212173_at	AK2	adenylate kinase 2	0.753	4.094
212192_at	KCTD12	potassium channel tetramerization domain containing 12	0.727	3.203
212197_x_at	MPRIP	myosin phosphatase Rho interacting protein	0.464	3.152
212219_at	PSME4	proteasome activator subunit 4	-1.269	6.167
212224_at	ALDH1A1	aldehyde dehydrogenase 1 family member A1	1.097	4.059
212225_at	EIF1	eukaryotic translation initiation factor 1	0.582	3.108
212226_s_at	PLPP3	phospholipid phosphatase 3	0.479	2.544
212230_at	PLPP3	phospholipid phosphatase 3	1.167	6.82
212235_at	PLXND1	plexin D1	0.731	4.255
212236_x_at	KRT17///JUP	keratin 17///junction plakoglobin	-0.837	4.849
212259_s_at	PBXIP1	PBX homeobox interacting protein 1	0.448	2.675
212262_at	QKI	QKI, KH domain containing RNA binding	0.489	4.06
212276_at	LPIN1	lipin 1	0.403	2.721
212281_s_at	TMEM97	transmembrane protein 97	-2.31	9.902
212282_at	TMEM97	transmembrane protein 97	-1.361	7.528
212328_at	LIMCH1	LIM and calponin homology domains 1	1.228	4.096
212334_at	GNS	glucosamine (N-acetyl)-6-sulfatase	0.929	3.429
212335_at	GNS	glucosamine (N-acetyl)-6-sulfatase	0.511	3.099
212372_at	MYH10	myosin, heavy chain 10, non-muscle	0.487	2.635
212387_at	TCF4	transcription factor 4	0.505	2.782
212390_at	LOC101930416///LOC101929792///LOC100996724///PDE4DIP	myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein	0.797	4.512
212417_at	SCAMP1	secretory carrier membrane protein 1	-0.518	2.598
212419_at	ZCCHC24	zinc finger CCHC-type containing 24	1.13	7.755
212423_at	ZCCHC24	zinc finger CCHC-type containing 24	0.691	3.494
212442_s_at	CERS6	ceramide synthase 6	-0.872	4.679
212446_s_at	CERS6	ceramide synthase 6	-0.736	4.369
212457_at	TFE3	transcription factor binding to IGHM enhancer 3	1.074	5.3
212460_at	SPTSSA	serine palmitoyltransferase small subunit A	-0.598	3.486
212464_s_at	FN1	fibronectin 1	-1.333	4.772
212481_s_at	TPM4	tropomyosin 4	-0.601	3.302
212494_at	TNS2	tensin 2	0.595	3.653
212501_at	CEBPB	CCAAT/enhancer binding protein beta	0.749	3.512
212509_s_at	MXRA7	matrix remodeling associated 7	0.495	3.466
212518_at	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma	0.499	2.655
212521_s_at	PDE8A	phosphodiesterase 8A	0.66	3.301
212522_at	PDE8A	phosphodiesterase 8A	0.389	2.485
212530_at	NEK7	NIMA related kinase 7	0.54	4.282
212533_at	WEE1	WEE1 G2 checkpoint kinase	-0.835	5.482
212539_at	CHD1L	chromodomain helicase DNA binding protein 1 like	-0.469	2.565
212540_at	CDC34	cell division cycle 34	0.373	3.135
212551_at	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	0.749	5.441
212554_at	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	0.666	3.379
212558_at	SPRY1	sprouty RTK signaling antagonist 1	0.39	2.625
212560_at	SORL1	sortilin related receptor 1	-0.524	3.396
212566_at	MAP4	microtubule associated protein 4	0.461	3.561
212586_at	CAST	calpastatin	0.568	2.694
212590_at	RRAS2	related RAS viral (r-ras) oncogene homolog 2	0.512	4.124
212591_at	ARID4B///RBM34	AT-rich interaction domain 4B///RNA binding motif protein 34	-0.812	3.167
212592_at	JCHAIN	joining chain of multimeric IgA and IgM	-0.926	3.674
212621_at	NEMP1	nuclear envelope integral membrane protein 1	-0.746	4.356
212623_at	TMEM41B	transmembrane protein 41B	-0.593	2.449
212626_x_at	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	-0.691	2.662
212636_at	QKI	QKI, KH domain containing RNA binding	1.113	9.128
212640_at	HACD2	3-hydroxyacyl-CoA dehydratase 2	0.671	4.383
212646_at	RFTN1	raftlin, lipid raft linker 1	0.72	4.619
212647_at	RRAS	related RAS viral (r-ras) oncogene homolog	0.642	3.862
212650_at	EHBP1	EH domain binding protein 1	0.445	2.449
212653_s_at	EHBP1	EH domain binding protein 1	1.565	7.8
212667_at	SPARC	secreted protein acidic and cysteine rich	0.834	4.988
212686_at	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H	-0.753	2.596
212701_at	TLN2	talin 2	0.668	2.607
212705_x_at	PNPLA2	patatin like phospholipase domain containing 2	0.695	2.949
212713_at	MFAP4	microfibrillar associated protein 4	0.531	3.749
212717_at	PLEKHM1	pleckstrin homology and RUN domain containing M1	0.53	2.889
212739_s_at	NME4	NME/NM23 nucleoside diphosphate kinase 4	0.615	3.304
212741_at	MAOA	monoamine oxidase A	2.709	14.589
212762_s_at	TCF7L2	transcription factor 7 like 2	0.453	2.746
212764_at	ZEB1	zinc finger E-box binding homeobox 1	0.414	2.933
212770_at	TLE3	transducin like enhancer of split 3	-0.456	3.196
212780_at	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1	0.645	3.645
212814_at	AHCYL2	adenosylhomocysteinase like 2	0.325	2.468
212845_at	SAMD4A	sterile alpha motif domain containing 4A	0.844	7.781
212875_s_at	C2CD2	C2 calcium dependent domain containing 2	1.124	6.461
212886_at	CCDC69	coiled-coil domain containing 69	2.334	10.049
212915_at	PDZRN3	PDZ domain containing ring finger 3	0.929	5.48
212931_at	TCF20	transcription factor 20	-0.575	3.349
212950_at	ADGRF5	adhesion G protein-coupled receptor F5	0.764	3.81
212951_at	ADGRF5	adhesion G protein-coupled receptor F5	0.82	2.787
212963_at	TM2D1	TM2 domain containing 1	0.61	3.693
212977_at	ACKR3	atypical chemokine receptor 3	0.858	3.593
212991_at	FBXO9	F-box protein 9	0.38	2.619
212993_at	NACC2	NACC family member 2	1.139	5.142
213001_at	ANGPTL2	angiopoietin like 2	0.661	6.028
213005_s_at	KANK1	KN motif and ankyrin repeat domains 1	0.974	9.655
213010_at	PRKCDBP	protein kinase C delta binding protein	0.979	5.515
213027_at	TROVE2	TROVE domain family member 2	0.417	2.778
213029_at	NFIB	nuclear factor I B	0.497	2.498
213049_at	RALGAPA1	Ral GTPase activating protein catalytic alpha subunit 1	-0.535	2.908
213050_at	COBL	cordon-bleu WH2 repeat protein	-0.614	2.466
213058_at	TTC28	tetratricopeptide repeat domain 28	0.404	2.614
213062_at	NTAN1	N-terminal asparagine amidase	0.621	2.663
213068_at	DPT	dermatopontin	2.473	12.258
213071_at	DPT	dermatopontin	2.858	12.419
213085_s_at	WWC1	WW and C2 domain containing 1	-0.495	2.716
213089_at	LOC100272216	uncharacterized LOC100272216	-0.526	3.352
213136_at	PTPN2	protein tyrosine phosphatase, non-receptor type 2	-0.634	2.436
213137_s_at	PTPN2	protein tyrosine phosphatase, non-receptor type 2	-0.716	2.539
213140_s_at	SS18L1	SS18L1, nBAF chromatin remodeling complex subunit	-0.52	3.274
213150_at	HOXA10	homeobox A10	1.374	6.152
213152_s_at	SRSF8	serine and arginine rich splicing factor 8	-0.502	2.471
213156_at	ZBTB20	zinc finger and BTB domain containing 20	0.752	3.126
213158_at	ZBTB20	zinc finger and BTB domain containing 20	0.399	2.493
213175_s_at	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	-1.359	5.446
213176_s_at	LTBP4	latent transforming growth factor beta binding protein 4	0.658	2.892
213182_x_at	CDKN1C	cyclin dependent kinase inhibitor 1C	0.733	2.981
213217_at	ADCY2	adenylate cyclase 2	-0.579	2.43
213221_s_at	SIK2	salt inducible kinase 2	1.08	6.527
213226_at	CCNA2	cyclin A2	-0.808	6.559
213227_at	PGRMC2	progesterone receptor membrane component 2	0.679	4.261
213231_at	DMWD	dystrophia myotonica, WD repeat containing	0.445	3.065
213236_at	SASH1	SAM and SH3 domain containing 1	1.219	7.322
213247_at	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	1.052	8.731
213273_at	TENM4	teneurin transmembrane protein 4	0.306	2.432
213301_x_at	TRIM24	tripartite motif containing 24	-0.672	3.769
213306_at	MPDZ	multiple PDZ domain crumbs cell polarity complex component	0.582	2.644
213309_at	PLCL2	phospholipase C like 2	1.179	7.154
213316_at	KIAA1462	KIAA1462	0.476	3.306
213341_at	FEM1C	fem-1 homolog C	-0.743	2.514
213348_at	CDKN1C	cyclin dependent kinase inhibitor 1C	1.033	9.381
213353_at	ABCA5	ATP binding cassette subfamily A member 5	0.419	3.047
213359_at	HNRNPD	heterogeneous nuclear ribonucleoprotein D	-1.091	3.381
213364_s_at	SNX1	sorting nexin 1	1.132	7.831
213381_at	VSTM4	V-set and transmembrane domain containing 4	0.718	3.76
213397_x_at	RNASE4	ribonuclease A family member 4	1.07	7.224
213451_x_at	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	1.387	8.512
213486_at	COPG2IT1	COPG2 imprinted transcript 1 (non-protein coding)	1.158	8.796
